"Match.Id","Round.Id","Competition.Id","Venue","Local.Start.Time","Round.Number","Round.Abbreviation","Weather.Type","Weather.Description","Temperature","team","goals","behinds","points_for","behinds_left","behinds_right","posters_left","posters_right","behinds_rushed","behinds_touched","points_against","home_or_away","score_margin","match_outcome","team_abbr","team_id","team_nickname","bounces","clangers","clearances_centre","clearances_stoppage","clearances_total","marks_contested","possessions_contested","disposals_efficiency","disposals","dream_team_points","frees_against","frees_for","goal_accuracy","goal_assists","goal_efficiency","handballs","hitouts","inside50s","intercepts","kicks","marks","marks_inside50","one_percenters","rebound50s","shot_efficiency","shots_at_goal","tackles","tackles_inside50","possessions_total","turnovers","possessions_uncontested"
"CD_M20172640602","CD_R201726406","CD_S2017264","South Pine Sports Complex",2017-03-11 10:05:00,6,"Rd 6","MOSTLY_SUNNY","Mostly sunny",31,"Brisbane Lions",2,11,23,2,1,1,0,7,0,16,"Home",7,"Win","BL","CD_T7887","Lions",2,31,1,11,12,11,87,61,172,828,14,18,18.2,0,6.5,52,24,31,59,120,47,7,16,18,35.5,11,50,10,170,48,83
"CD_M20172640602","CD_R201726406","CD_S2017264","South Pine Sports Complex",2017-03-11 10:05:00,6,"Rd 6","MOSTLY_SUNNY","Mostly sunny",31,"Western Bulldogs",2,4,16,2,0,0,1,1,0,23,"Away",-7,"Loss","WB","CD_T7387","Bulldogs",5,50,6,16,22,6,93,60.2,181,707,18,14,18.2,1,10,80,20,20,49,101,24,1,13,27,55,11,44,13,184,59,91
"CD_M20172640603","CD_R201726406","CD_S2017264","TIO Stadium",2017-03-11 17:40:00,6,"Rd 6","THUNDERSTORMS","Shower or two Possible storm",33,"Adelaide Crows",5,2,32,1,0,0,0,1,0,34,"Home",-2,"Loss","ADEL","CD_T8098","Crows",1,42,4,18,22,6,103,56.9,181,858,9,15,55.6,1,14.3,47,24,35,53,134,30,3,15,16,25.7,9,57,4,170,59,67
"CD_M20172640603","CD_R201726406","CD_S2017264","TIO Stadium",2017-03-11 17:40:00,6,"Rd 6","THUNDERSTORMS","Shower or two Possible storm",33,"Melbourne",5,4,34,2,1,0,1,0,0,32,"Away",2,"Win","MELB","CD_T7386","Demons",2,43,4,13,17,6,99,64.7,218,925,15,9,41.7,1,23.8,84,24,21,59,134,43,5,35,29,57.1,12,51,4,217,53,118
"CD_M20172640604","CD_R201726406","CD_S2017264","Olympic Park Oval",2017-03-12 11:05:00,6,"Rd 6","RAIN","Shower or two",29,"Collingwood",7,13,55,6,4,0,2,1,0,19,"Home",36,"Win","COLL","CD_T8097","Magpies",7,35,5,24,29,9,107,56.2,192,904,14,13,31.8,5,18.9,59,41,37,42,133,36,10,24,9,59.5,22,53,22,198,38,91
"CD_M20172640604","CD_R201726406","CD_S2017264","Olympic Park Oval",2017-03-12 11:05:00,6,"Rd 6","RAIN","Shower or two",29,"GWS Giants",3,1,19,1,0,0,0,0,0,55,"Away",-36,"Loss","GWS","CD_T7889","Giants",4,30,6,10,16,3,75,57.6,151,676,13,14,75,2,25,48,24,12,38,103,23,0,18,28,33.3,4,46,4,142,41,67
"CD_M20172640701","CD_R201726407","CD_S2017264","Casey Fields",2017-03-18 16:35:00,7,"Rd 7","CLEAR_NIGHT","Clear",18,"Melbourne",11,4,70,1,2,0,0,0,1,16,"Home",54,"Win","MELB","CD_T7386","Demons",7,39,8,12,20,6,119,65.9,270,1162,10,24,55,9,32.4,105,29,34,61,165,56,12,20,21,58.8,20,49,8,271,57,152
"CD_M20172640701","CD_R201726407","CD_S2017264","Casey Fields",2017-03-18 16:35:00,7,"Rd 7","CLEAR_NIGHT","Clear",18,"Fremantle",2,4,16,1,1,1,0,1,0,70,"Away",-54,"Loss","FRE","CD_T7886","Freo",5,50,5,9,14,6,91,48.7,160,738,24,10,40,1,8.7,50,11,23,57,110,33,2,28,22,21.7,5,61,4,157,61,66
"CD_M20172640702","CD_R201726407","CD_S2017264","UNSW Canberra Oval",2017-03-18 19:10:00,7,"Rd 7","OVERCAST","Cloudy",18,"GWS Giants",3,2,20,0,1,0,0,1,0,52,"Home",-32,"Loss","GWS","CD_T7889","Giants",2,33,5,23,28,4,92,60,170,809,13,12,50,3,18.8,58,36,16,35,112,36,6,21,20,37.5,6,55,2,167,49,75
"CD_M20172640702","CD_R201726407","CD_S2017264","UNSW Canberra Oval",2017-03-18 19:10:00,7,"Rd 7","OVERCAST","Cloudy",18,"Western Bulldogs",7,10,52,3,4,2,0,1,0,20,"Away",32,"Win","WB","CD_T7387","Bulldogs",3,25,3,20,23,3,86,67.6,170,841,12,13,38.9,4,25,73,25,28,49,97,26,7,22,12,64.3,18,68,5,174,35,88
